PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count
"kicad-5.1","2019-02-08","2019-02-07 20:03:14.359907+00:00","Superseded","amd64","cosmic","kicad","5.1.0-rc1-201902071736+d1c9330~66~ubuntu18.10.1",1
"kicad-5.1","2019-02-09","2019-02-07 20:03:14.359907+00:00","Superseded","amd64","bionic","kicad","5.1.0-rc1-201902071736+d1c9330~66~ubuntu18.04.1",1
"kicad-5.1","2019-02-09","2019-02-07 20:03:14.359907+00:00","Superseded","amd64","bionic","kicad-demo","5.1.0-rc1-201902071736+d1c9330~66~ubuntu18.04.1",1
"kicad-5.1","2019-02-09","2019-02-07 20:03:14.359907+00:00","Superseded","arm64","bionic","kicad-demo","5.1.0-rc1-201902071736+d1c9330~66~ubuntu18.04.1",1
"kicad-5.1","2019-02-09","2019-02-07 20:03:14.359907+00:00","Superseded","armhf","bionic","kicad-demo","5.1.0-rc1-201902071736+d1c9330~66~ubuntu18.04.1",1
"kicad-5.1","2019-02-09","2019-02-07 20:03:14.359907+00:00","Superseded","i386","bionic","kicad-demo","5.1.0-rc1-201902071736+d1c9330~66~ubuntu18.04.1",1
"kicad-5.1","2019-02-09","2019-02-07 20:03:14.359907+00:00","Superseded","ppc64el","bionic","kicad-demo","5.1.0-rc1-201902071736+d1c9330~66~ubuntu18.04.1",1
"kicad-5.1","2019-02-09","2019-02-07 20:03:14.359907+00:00","Superseded","s390x","bionic","kicad-demo","5.1.0-rc1-201902071736+d1c9330~66~ubuntu18.04.1",1
"kicad-5.1","2019-02-11","2019-02-07 20:03:14.359907+00:00","Superseded","amd64","bionic","kicad","5.1.0-rc1-201902071736+d1c9330~66~ubuntu18.04.1",1
"kicad-5.1","2019-02-11","2019-02-11 09:34:00.136422+00:00","Superseded","amd64","bionic","kicad","5.1.0-rc1-201902110841+d1c9330~68~ubuntu18.04.1",2
"kicad-5.1","2019-02-11","2019-02-11 09:34:00.136422+00:00","Superseded","amd64","bionic","kicad-demo","5.1.0-rc1-201902110841+d1c9330~68~ubuntu18.04.1",1
"kicad-5.1","2019-02-11","2019-02-11 09:34:00.136422+00:00","Superseded","arm64","bionic","kicad-demo","5.1.0-rc1-201902110841+d1c9330~68~ubuntu18.04.1",1
"kicad-5.1","2019-02-11","2019-02-11 09:34:00.136422+00:00","Superseded","armhf","bionic","kicad-demo","5.1.0-rc1-201902110841+d1c9330~68~ubuntu18.04.1",1
"kicad-5.1","2019-02-11","2019-02-11 09:34:00.136422+00:00","Superseded","i386","bionic","kicad-demo","5.1.0-rc1-201902110841+d1c9330~68~ubuntu18.04.1",1
"kicad-5.1","2019-02-11","2019-02-11 09:34:00.136422+00:00","Superseded","ppc64el","bionic","kicad-demo","5.1.0-rc1-201902110841+d1c9330~68~ubuntu18.04.1",1
"kicad-5.1","2019-02-11","2019-02-11 09:34:00.136422+00:00","Superseded","s390x","bionic","kicad-demo","5.1.0-rc1-201902110841+d1c9330~68~ubuntu18.04.1",1
"kicad-5.1","2019-02-11","2019-02-11 10:13:58.186425+00:00","Published","amd64","bionic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.04.1",1
"kicad-5.1","2019-02-11","2019-02-11 10:13:58.186425+00:00","Published","arm64","bionic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.04.1",1
"kicad-5.1","2019-02-11","2019-02-11 10:13:58.186425+00:00","Published","armhf","bionic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.04.1",1
"kicad-5.1","2019-02-11","2019-02-11 10:13:58.186425+00:00","Published","i386","bionic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.04.1",1
"kicad-5.1","2019-02-11","2019-02-11 10:13:58.186425+00:00","Published","ppc64el","bionic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.04.1",1
"kicad-5.1","2019-02-11","2019-02-11 10:13:58.186425+00:00","Published","s390x","bionic","kicad-libraries","5.1.0-rc1-201902111003+7~ubuntu18.04.1",1
"kicad-5.1","2019-02-11","2019-02-11 11:01:44.339696+00:00","Superseded","amd64","xenial","kicad","5.1.0-rc1-201902110958+d1c9330~70~ubuntu16.04.1",1
"kicad-5.1","2019-02-11","2019-02-11 12:27:46.877741+00:00","Superseded","amd64","bionic","kicad","5.1.0-rc1-201902111127+d1c9330~71~ubuntu18.04.1",2
"kicad-5.1","2019-02-11","2019-02-11 15:11:47.420405+00:00","Published","amd64","bionic","kicad","5.1.0-rc1-201902111429+d1c9330~73~ubuntu18.04.1",3
"kicad-5.1","2019-02-11","2019-02-11 15:11:47.420405+00:00","Published","amd64","bionic","kicad-demo","5.1.0-rc1-201902111429+d1c9330~73~ubuntu18.04.1",1
"kicad-5.1","2019-02-11","2019-02-11 15:11:47.420405+00:00","Published","arm64","bionic","kicad-demo","5.1.0-rc1-201902111429+d1c9330~73~ubuntu18.04.1",1
