PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count,Short version
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","amd64","bionic","kicad-nightly","201905010732+9f189ca~100~ubuntu18.04.1",23,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","amd64","bionic","kicad-nightly-dbg","201905010732+9f189ca~100~ubuntu18.04.1",4,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","amd64","bionic","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu18.04.1",23,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","amd64","cosmic","kicad-nightly","201905010732+9f189ca~100~ubuntu18.10.1",7,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","amd64","cosmic","kicad-nightly-dbg","201905010732+9f189ca~100~ubuntu18.10.1",3,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","amd64","cosmic","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu18.10.1",7,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","arm64","bionic","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu18.04.1",23,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","arm64","cosmic","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu18.10.1",7,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","armhf","bionic","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu18.04.1",23,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","armhf","cosmic","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu18.10.1",7,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","i386","bionic","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu18.04.1",23,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","i386","cosmic","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu18.10.1",7,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","ppc64el","bionic","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu18.04.1",23,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","ppc64el","cosmic","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu18.10.1",7,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","s390x","bionic","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu18.04.1",23,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:21:29.207115+00:00","Superseded","s390x","cosmic","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu18.10.1",7,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:33:33.724484+00:00","Superseded","amd64","xenial","kicad-nightly","201905010732+9f189ca~100~ubuntu16.04.1",5,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:33:33.724484+00:00","Superseded","amd64","xenial","kicad-nightly-dbg","201905010732+9f189ca~100~ubuntu16.04.1",2,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:33:33.724484+00:00","Superseded","amd64","xenial","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu16.04.1",5,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:33:33.724484+00:00","Superseded","arm64","xenial","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu16.04.1",5,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:33:33.724484+00:00","Superseded","armhf","xenial","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu16.04.1",5,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:33:33.724484+00:00","Superseded","i386","xenial","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu16.04.1",5,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:33:33.724484+00:00","Superseded","powerpc","xenial","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu16.04.1",5,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:33:33.724484+00:00","Superseded","ppc64el","xenial","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu16.04.1",5,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 08:33:33.724484+00:00","Superseded","s390x","xenial","kicad-nightly-demos","201905010732+9f189ca~100~ubuntu16.04.1",5,"201905010732"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 09:08:45.458632+00:00","Superseded","amd64","disco","kicad-nightly","201905010733+9f189ca~100~ubuntu19.04.1",2,"201905010733"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 09:08:45.458632+00:00","Superseded","amd64","disco","kicad-nightly-demos","201905010733+9f189ca~100~ubuntu19.04.1",2,"201905010733"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 09:08:45.458632+00:00","Superseded","arm64","disco","kicad-nightly-demos","201905010733+9f189ca~100~ubuntu19.04.1",2,"201905010733"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 09:08:45.458632+00:00","Superseded","armhf","disco","kicad-nightly-demos","201905010733+9f189ca~100~ubuntu19.04.1",2,"201905010733"
"js-reynaud/kicad-dev-nightly","2019-05-01","2019-05-01 09:08:45.458632+00:00","Superseded","i386","disco","kicad-nightly-demos","201905010733+9f189ca~100~ubuntu19.04.1",2,"201905010733"
