PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-25 18:37:02.246354+00:00","Published","amd64","bionic","kicad-nightly-footprints","202109251819+441a7f0df~13~ubuntu18.04.1",4
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-25 18:37:02.246354+00:00","Published","amd64","focal","kicad-nightly-footprints","202109251819+441a7f0df~13~ubuntu20.04.1",3
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-25 18:37:02.246354+00:00","Published","arm64","bionic","kicad-nightly-footprints","202109251819+441a7f0df~13~ubuntu18.04.1",4
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-25 18:37:02.246354+00:00","Published","arm64","focal","kicad-nightly-footprints","202109251819+441a7f0df~13~ubuntu20.04.1",3
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-25 18:37:02.246354+00:00","Published","armhf","bionic","kicad-nightly-footprints","202109251819+441a7f0df~13~ubuntu18.04.1",4
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-25 18:37:02.246354+00:00","Published","armhf","focal","kicad-nightly-footprints","202109251819+441a7f0df~13~ubuntu20.04.1",3
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-25 18:37:02.246354+00:00","Published","i386","bionic","kicad-nightly-footprints","202109251819+441a7f0df~13~ubuntu18.04.1",4
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-25 18:37:02.246354+00:00","Published","i386","focal","kicad-nightly-footprints","202109251819+441a7f0df~13~ubuntu20.04.1",3
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-25 18:37:02.246354+00:00","Published","ppc64el","bionic","kicad-nightly-footprints","202109251819+441a7f0df~13~ubuntu18.04.1",4
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-25 18:37:02.246354+00:00","Published","ppc64el","focal","kicad-nightly-footprints","202109251819+441a7f0df~13~ubuntu20.04.1",3
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-25 18:37:02.246354+00:00","Published","riscv64","focal","kicad-nightly-footprints","202109251819+441a7f0df~13~ubuntu20.04.1",3
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-25 18:37:02.246354+00:00","Published","s390x","bionic","kicad-nightly-footprints","202109251819+441a7f0df~13~ubuntu18.04.1",4
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-25 18:37:02.246354+00:00","Published","s390x","focal","kicad-nightly-footprints","202109251819+441a7f0df~13~ubuntu20.04.1",3
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-26 10:41:32.280658+00:00","Published","amd64","bionic","kicad-nightly-symbols","202109261018+fb73b503~9~ubuntu18.04.1",6
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-26 10:41:32.280658+00:00","Published","amd64","focal","kicad-nightly-symbols","202109261019+fb73b503~9~ubuntu20.04.1",2
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-26 10:41:32.280658+00:00","Published","arm64","bionic","kicad-nightly-symbols","202109261018+fb73b503~9~ubuntu18.04.1",6
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-26 10:41:32.280658+00:00","Published","arm64","focal","kicad-nightly-symbols","202109261019+fb73b503~9~ubuntu20.04.1",2
"js-reynaud/kicad-dev-nightly","2021-09-27","2021-09-26 10:41:32.280658+00:00","Published","armhf","bionic","kicad-nightly-symbols","202109261018+fb73b503~9~ubuntu18.04.1",6
