PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count,Short version
"js-reynaud/kicad-dev-nightly","2022-01-25","2022-01-25 16:20:45.928122+00:00","Superseded","amd64","focal","kicad-nightly","202201251502+6e9516925c~146~ubuntu20.04.1",1,"202201251502"
"js-reynaud/kicad-dev-nightly","2022-01-25","2022-01-25 16:20:45.928122+00:00","Superseded","amd64","focal","kicad-nightly-dbg","202201251502+6e9516925c~146~ubuntu20.04.1",1,"202201251502"
"js-reynaud/kicad-dev-nightly","2022-01-25","2022-01-25 16:20:45.928122+00:00","Superseded","amd64","focal","kicad-nightly-demos","202201251502+6e9516925c~146~ubuntu20.04.1",1,"202201251502"
"js-reynaud/kicad-dev-nightly","2022-01-25","2022-01-25 16:20:45.928122+00:00","Superseded","arm64","focal","kicad-nightly-demos","202201251502+6e9516925c~146~ubuntu20.04.1",1,"202201251502"
"js-reynaud/kicad-dev-nightly","2022-01-25","2022-01-25 16:20:45.928122+00:00","Superseded","armhf","focal","kicad-nightly-demos","202201251502+6e9516925c~146~ubuntu20.04.1",1,"202201251502"
"js-reynaud/kicad-dev-nightly","2022-01-25","2022-01-25 16:20:45.928122+00:00","Superseded","i386","focal","kicad-nightly-demos","202201251502+6e9516925c~146~ubuntu20.04.1",1,"202201251502"
"js-reynaud/kicad-dev-nightly","2022-01-25","2022-01-25 16:20:45.928122+00:00","Superseded","ppc64el","focal","kicad-nightly-demos","202201251502+6e9516925c~146~ubuntu20.04.1",1,"202201251502"
"js-reynaud/kicad-dev-nightly","2022-01-25","2022-01-25 16:20:45.928122+00:00","Superseded","riscv64","focal","kicad-nightly-demos","202201251502+6e9516925c~146~ubuntu20.04.1",1,"202201251502"
"js-reynaud/kicad-dev-nightly","2022-01-25","2022-01-25 16:20:45.928122+00:00","Superseded","s390x","focal","kicad-nightly-demos","202201251502+6e9516925c~146~ubuntu20.04.1",1,"202201251502"
"js-reynaud/ppa-kicad","2022-01-25","2022-01-25 16:14:29.637437+00:00","Published","amd64","focal","kicad-demos","202201251502+6e9516925c~116~ubuntu20.04.1",12,"202201251502"
"js-reynaud/ppa-kicad","2022-01-25","2022-01-25 16:14:29.637437+00:00","Published","arm64","focal","kicad-demos","202201251502+6e9516925c~116~ubuntu20.04.1",12,"202201251502"
"js-reynaud/ppa-kicad","2022-01-25","2022-01-25 16:14:29.637437+00:00","Published","armhf","focal","kicad-demos","202201251502+6e9516925c~116~ubuntu20.04.1",12,"202201251502"
"js-reynaud/ppa-kicad","2022-01-25","2022-01-25 16:14:29.637437+00:00","Published","i386","focal","kicad-demos","202201251502+6e9516925c~116~ubuntu20.04.1",12,"202201251502"
"js-reynaud/ppa-kicad","2022-01-25","2022-01-25 16:14:29.637437+00:00","Published","ppc64el","focal","kicad-demos","202201251502+6e9516925c~116~ubuntu20.04.1",12,"202201251502"
"js-reynaud/ppa-kicad","2022-01-25","2022-01-25 16:14:29.637437+00:00","Published","riscv64","focal","kicad-demos","202201251502+6e9516925c~116~ubuntu20.04.1",12,"202201251502"
"js-reynaud/ppa-kicad","2022-01-25","2022-01-25 16:14:29.637437+00:00","Published","s390x","focal","kicad-demos","202201251502+6e9516925c~116~ubuntu20.04.1",12,"202201251502"
"js-reynaud/ppa-kicad","2022-01-25","2022-01-25 16:14:29.637437+00:00","Superseded","amd64","focal","kicad","202201251502+6e9516925c~116~ubuntu20.04.1",11,"202201251502"
