"Package","Item","Title","csv"
"Monthly","2018-09","septembre 2018","csv/2018-09.txt"
"Monthly","2018-10","octobre 2018","csv/2018-10.txt"
"Monthly","2018-11","novembre 2018","csv/2018-11.txt"
"Monthly","2018-12","décembre 2018","csv/2018-12.txt"
"Monthly","2019-01","janvier 2019","csv/2019-01.txt"
"Monthly","2019-02","février 2019","csv/2019-02.txt"
"Monthly","2019-03","mars 2019","csv/2019-03.txt"
"Monthly","2019-04","avril 2019","csv/2019-04.txt"
"Monthly","2019-05","mai 2019","csv/2019-05.txt"
"Monthly","2019-06","juin 2019","csv/2019-06.txt"
"Monthly","2019-07","juillet 2019","csv/2019-07.txt"
"Monthly","2019-08","août 2019","csv/2019-08.txt"
"Monthly","2019-09","septembre 2019","csv/2019-09.txt"
"Monthly","2019-10","octobre 2019","csv/2019-10.txt"
"Monthly","2019-11","novembre 2019","csv/2019-11.txt"
"Monthly","2019-12","décembre 2019","csv/2019-12.txt"
"Monthly","2020-01","janvier 2020","csv/2020-01.txt"
"Monthly","2020-02","février 2020","csv/2020-02.txt"
"Monthly","2020-03","mars 2020","csv/2020-03.txt"
"Daily for septembre 2018","2018-09-01","01 septembre 2018","csv/2018-09/2018-09-01.txt"
"Daily for septembre 2018","2018-09-02","02 septembre 2018","csv/2018-09/2018-09-02.txt"
"Daily for septembre 2018","2018-09-03","03 septembre 2018","csv/2018-09/2018-09-03.txt"
"Daily for septembre 2018","2018-09-04","04 septembre 2018","csv/2018-09/2018-09-04.txt"
"Daily for septembre 2018","2018-09-05","05 septembre 2018","csv/2018-09/2018-09-05.txt"
"Daily for septembre 2018","2018-09-06","06 septembre 2018","csv/2018-09/2018-09-06.txt"
"Daily for septembre 2018","2018-09-07","07 septembre 2018","csv/2018-09/2018-09-07.txt"
"Daily for septembre 2018","2018-09-08","08 septembre 2018","csv/2018-09/2018-09-08.txt"
"Daily for septembre 2018","2018-09-09","09 septembre 2018","csv/2018-09/2018-09-09.txt"
"Daily for septembre 2018","2018-09-10","10 septembre 2018","csv/2018-09/2018-09-10.txt"
"Daily for septembre 2018","2018-09-11","11 septembre 2018","csv/2018-09/2018-09-11.txt"
"Daily for septembre 2018","2018-09-12","12 septembre 2018","csv/2018-09/2018-09-12.txt"
"Daily for septembre 2018","2018-09-13","13 septembre 2018","csv/2018-09/2018-09-13.txt"
"Daily for septembre 2018","2018-09-14","14 septembre 2018","csv/2018-09/2018-09-14.txt"
"Daily for septembre 2018","2018-09-15","15 septembre 2018","csv/2018-09/2018-09-15.txt"
"Daily for septembre 2018","2018-09-16","16 septembre 2018","csv/2018-09/2018-09-16.txt"
"Daily for septembre 2018","2018-09-17","17 septembre 2018","csv/2018-09/2018-09-17.txt"
"Daily for septembre 2018","2018-09-18","18 septembre 2018","csv/2018-09/2018-09-18.txt"
"Daily for septembre 2018","2018-09-19","19 septembre 2018","csv/2018-09/2018-09-19.txt"
"Daily for septembre 2018","2018-09-20","20 septembre 2018","csv/2018-09/2018-09-20.txt"
"Daily for septembre 2018","2018-09-21","21 septembre 2018","csv/2018-09/2018-09-21.txt"
"Daily for septembre 2018","2018-09-22","22 septembre 2018","csv/2018-09/2018-09-22.txt"
"Daily for septembre 2018","2018-09-23","23 septembre 2018","csv/2018-09/2018-09-23.txt"
