PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count
"ppa-kicad","2018-09-01","2018-09-01 14:53:15.302082+00:00","Superseded","s390x","bionic","kicad-demo","201809011152+5cd7549~66~ubuntu18.04.1",6
"ppa-kicad","2018-09-01","2018-09-01 14:53:15.302082+00:00","Superseded","ppc64el","bionic","kicad-demo","201809011152+5cd7549~66~ubuntu18.04.1",6
"ppa-kicad","2018-09-01","2018-09-01 14:53:15.302082+00:00","Superseded","i386","bionic","kicad-demo","201809011152+5cd7549~66~ubuntu18.04.1",6
"ppa-kicad","2018-09-01","2018-09-01 14:53:15.302082+00:00","Superseded","armhf","bionic","kicad-demo","201809011152+5cd7549~66~ubuntu18.04.1",6
"ppa-kicad","2018-09-01","2018-09-01 14:53:15.302082+00:00","Superseded","arm64","bionic","kicad-demo","201809011152+5cd7549~66~ubuntu18.04.1",6
"ppa-kicad","2018-09-01","2018-09-01 14:53:15.302082+00:00","Superseded","amd64","bionic","kicad-demo","201809011152+5cd7549~66~ubuntu18.04.1",6
"ppa-kicad","2018-09-01","2018-09-01 14:53:15.302082+00:00","Superseded","amd64","bionic","kicad","201809011152+5cd7549~66~ubuntu18.04.1",54
"ppa-kicad","2018-09-01","2018-09-01 14:43:39.578362+00:00","Superseded","amd64","xenial","kicad-dbg","201809011152+5cd7549~66~ubuntu16.04.1",5
"ppa-kicad","2018-09-01","2018-09-01 14:43:39.578362+00:00","Superseded","s390x","xenial","kicad-demo","201809011152+5cd7549~66~ubuntu16.04.1",21
"ppa-kicad","2018-09-01","2018-09-01 14:43:39.578362+00:00","Superseded","ppc64el","xenial","kicad-demo","201809011152+5cd7549~66~ubuntu16.04.1",21
"ppa-kicad","2018-09-01","2018-09-01 14:43:39.578362+00:00","Superseded","powerpc","xenial","kicad-demo","201809011152+5cd7549~66~ubuntu16.04.1",21
"ppa-kicad","2018-09-01","2018-09-01 14:43:39.578362+00:00","Superseded","i386","xenial","kicad-demo","201809011152+5cd7549~66~ubuntu16.04.1",21
"ppa-kicad","2018-09-01","2018-09-01 14:43:39.578362+00:00","Superseded","armhf","xenial","kicad-demo","201809011152+5cd7549~66~ubuntu16.04.1",21
"ppa-kicad","2018-09-01","2018-09-01 14:43:39.578362+00:00","Superseded","arm64","xenial","kicad-demo","201809011152+5cd7549~66~ubuntu16.04.1",21
"ppa-kicad","2018-09-01","2018-09-01 14:43:39.578362+00:00","Superseded","amd64","xenial","kicad-demo","201809011152+5cd7549~66~ubuntu16.04.1",21
"ppa-kicad","2018-09-01","2018-09-01 14:43:39.578362+00:00","Superseded","amd64","xenial","kicad","201809011152+5cd7549~66~ubuntu16.04.1",76
"ppa-kicad","2018-09-01","2018-09-01 14:20:18.386395+00:00","Superseded","ppc64el","trusty","kicad-demo","201809011152+5cd7549~66~ubuntu14.04.1",2
"ppa-kicad","2018-09-01","2018-09-01 14:20:18.386395+00:00","Superseded","powerpc","trusty","kicad-demo","201809011152+5cd7549~66~ubuntu14.04.1",2
"ppa-kicad","2018-09-01","2018-09-01 14:20:18.386395+00:00","Superseded","i386","trusty","kicad-demo","201809011152+5cd7549~66~ubuntu14.04.1",2
"ppa-kicad","2018-09-01","2018-09-01 14:20:18.386395+00:00","Superseded","armhf","trusty","kicad-demo","201809011152+5cd7549~66~ubuntu14.04.1",2
"ppa-kicad","2018-09-01","2018-09-01 14:20:18.386395+00:00","Superseded","arm64","trusty","kicad-demo","201809011152+5cd7549~66~ubuntu14.04.1",2
"ppa-kicad","2018-09-01","2018-09-01 14:20:18.386395+00:00","Superseded","amd64","trusty","kicad-demo","201809011152+5cd7549~66~ubuntu14.04.1",2
"ppa-kicad","2018-09-01","2018-09-01 14:20:18.386395+00:00","Superseded","i386","trusty","kicad","201809011152+5cd7549~66~ubuntu14.04.1",2
"ppa-kicad","2018-09-01","2018-09-01 13:22:44.882820+00:00","Superseded","i386","xenial","kicad-dbg","201809011152+5cd7549~66~ubuntu16.04.1",1
"ppa-kicad","2018-09-01","2018-09-01 13:22:44.882820+00:00","Superseded","i386","xenial","kicad","201809011152+5cd7549~66~ubuntu16.04.1",2
"ppa-kicad","2018-09-01","2018-09-01 13:11:46.048975+00:00","Superseded","amd64","trusty","kicad-dbg","201809011152+5cd7549~66~ubuntu14.04.1",3
"ppa-kicad","2018-09-01","2018-09-01 13:11:46.048975+00:00","Superseded","amd64","trusty","kicad","201809011152+5cd7549~66~ubuntu14.04.1",16
"ppa-kicad","2018-09-01","2018-09-01 12:03:06.934733+00:00","Superseded","ppc64el","trusty","kicad-footprints","201809011149+b087ef6~9~ubuntu14.04.1",7
"ppa-kicad","2018-09-01","2018-09-01 12:03:06.934733+00:00","Superseded","powerpc","trusty","kicad-footprints","201809011149+b087ef6~9~ubuntu14.04.1",7
"ppa-kicad","2018-09-01","2018-09-01 12:03:06.934733+00:00","Superseded","i386","trusty","kicad-footprints","201809011149+b087ef6~9~ubuntu14.04.1",7
"ppa-kicad","2018-09-01","2018-09-01 12:03:06.934733+00:00","Superseded","armhf","trusty","kicad-footprints","201809011149+b087ef6~9~ubuntu14.04.1",7
"ppa-kicad","2018-09-01","2018-09-01 12:03:06.934733+00:00","Superseded","arm64","trusty","kicad-footprints","201809011149+b087ef6~9~ubuntu14.04.1",7
"ppa-kicad","2018-09-01","2018-09-01 12:03:06.934733+00:00","Superseded","amd64","trusty","kicad-footprints","201809011149+b087ef6~9~ubuntu14.04.1",7
"ppa-kicad","2018-09-01","2018-09-01 12:03:06.934733+00:00","Superseded","s390x","xenial","kicad-footprints","201809011148+b087ef6~9~ubuntu16.04.1",43
"ppa-kicad","2018-09-01","2018-09-01 12:03:06.934733+00:00","Superseded","ppc64el","xenial","kicad-footprints","201809011148+b087ef6~9~ubuntu16.04.1",43
"ppa-kicad","2018-09-01","2018-09-01 12:03:06.934733+00:00","Superseded","powerpc","xenial","kicad-footprints","201809011148+b087ef6~9~ubuntu16.04.1",43
