PPA,Date,Date published,Status,Arch,Ubuntu version,Package name,Package version,Download count
"kicad-5","2018-09-24","2018-09-12 21:09:41.469894+00:00","Published","amd64","trusty","libwxbase3.0-0","3.0.2-1~ubuntu14.04.1~ppa1",5
"kicad-5","2018-09-24","2018-09-12 21:09:41.469894+00:00","Published","amd64","trusty","libwxgtk3.0-0","3.0.2-1~ubuntu14.04.1~ppa1",4
"kicad-5","2018-09-24","2018-09-12 21:09:41.469894+00:00","Published","amd64","trusty","wx-common","3.0.2-1~ubuntu14.04.1~ppa1",1
"kicad-5","2018-09-24","2018-09-12 21:09:41.469894+00:00","Published","ppc64el","trusty","python-wxversion","3.0.1.1+dfsg-2~ubuntu14.04.1~ppa1",5
"kicad-5","2018-09-24","2018-09-12 21:09:41.469894+00:00","Published","powerpc","trusty","python-wxversion","3.0.1.1+dfsg-2~ubuntu14.04.1~ppa1",5
"kicad-5","2018-09-24","2018-09-12 21:09:41.469894+00:00","Published","i386","trusty","python-wxversion","3.0.1.1+dfsg-2~ubuntu14.04.1~ppa1",5
"kicad-5","2018-09-24","2018-09-12 21:09:41.469894+00:00","Published","armhf","trusty","python-wxversion","3.0.1.1+dfsg-2~ubuntu14.04.1~ppa1",5
"kicad-5","2018-09-24","2018-09-12 21:09:41.469894+00:00","Published","arm64","trusty","python-wxversion","3.0.1.1+dfsg-2~ubuntu14.04.1~ppa1",5
"kicad-5","2018-09-24","2018-09-12 21:09:41.469894+00:00","Published","amd64","trusty","python-wxversion","3.0.1.1+dfsg-2~ubuntu14.04.1~ppa1",5
"kicad-5","2018-09-24","2018-09-12 21:09:41.469894+00:00","Published","amd64","trusty","python-wxgtk3.0","3.0.1.1+dfsg-2~ubuntu14.04.1~ppa1",4
"ppa-kicad","2018-09-24","2018-09-24 16:49:22.290944+00:00","Superseded","ppc64el","trusty","kicad-demo","201809241222+6a02f78~66~ubuntu14.04.1",3
"ppa-kicad","2018-09-24","2018-09-24 16:49:22.290944+00:00","Superseded","powerpc","trusty","kicad-demo","201809241222+6a02f78~66~ubuntu14.04.1",3
"ppa-kicad","2018-09-24","2018-09-24 16:49:22.290944+00:00","Superseded","i386","trusty","kicad-demo","201809241222+6a02f78~66~ubuntu14.04.1",3
"ppa-kicad","2018-09-24","2018-09-24 16:49:22.290944+00:00","Superseded","armhf","trusty","kicad-demo","201809241222+6a02f78~66~ubuntu14.04.1",3
"ppa-kicad","2018-09-24","2018-09-24 16:49:22.290944+00:00","Superseded","arm64","trusty","kicad-demo","201809241222+6a02f78~66~ubuntu14.04.1",3
"ppa-kicad","2018-09-24","2018-09-24 16:49:22.290944+00:00","Superseded","amd64","trusty","kicad-demo","201809241222+6a02f78~66~ubuntu14.04.1",3
"ppa-kicad","2018-09-24","2018-09-24 16:49:22.290944+00:00","Superseded","i386","trusty","kicad","201809241222+6a02f78~66~ubuntu14.04.1",3
"ppa-kicad","2018-09-24","2018-09-24 16:49:22.290944+00:00","Superseded","amd64","bionic","kicad-dbg","201809241223+6a02f78~66~ubuntu18.04.1",1
"ppa-kicad","2018-09-24","2018-09-24 16:49:22.290944+00:00","Superseded","s390x","bionic","kicad-demo","201809241223+6a02f78~66~ubuntu18.04.1",7
"ppa-kicad","2018-09-24","2018-09-24 16:49:22.290944+00:00","Superseded","ppc64el","bionic","kicad-demo","201809241223+6a02f78~66~ubuntu18.04.1",7
"ppa-kicad","2018-09-24","2018-09-24 16:49:22.290944+00:00","Superseded","i386","bionic","kicad-demo","201809241223+6a02f78~66~ubuntu18.04.1",7
"ppa-kicad","2018-09-24","2018-09-24 16:49:22.290944+00:00","Superseded","armhf","bionic","kicad-demo","201809241223+6a02f78~66~ubuntu18.04.1",7
"ppa-kicad","2018-09-24","2018-09-24 16:49:22.290944+00:00","Superseded","arm64","bionic","kicad-demo","201809241223+6a02f78~66~ubuntu18.04.1",7
"ppa-kicad","2018-09-24","2018-09-24 16:49:22.290944+00:00","Superseded","amd64","bionic","kicad-demo","201809241223+6a02f78~66~ubuntu18.04.1",7
